YDL014W,YOR145C
YGR200C,YBR079C
YKR054C,YOR326W
YPL169C,YKL186C
YJL214W,YHR140W
YHR169W,YPR137W
YDL014W,YJL190C
YAL044W-A,YGL220W
YIR028W,YHL016C
YPR165W,YGR070W
YGL120C,YHR203C
YGR140W,YIL144W
YPR029C,YHL034C
YPL075W,YGR192C
YOR042W,YEL037C
YER020W,YOR371C
YNL308C,YOR091W
YKL182W,YGL245W
YMR263W,YML097C
YLR377C,YER020W
YDL153C,YER082C
YDR190C,YBR231C
YKL022C,YGL190C
YKL218C,YFR010W
YGR148C,YBR031W
YHL021C,YKR067W
YBL007C,YLR064W
YGR103W,YGR285C
YAL039C,YPR103W
YPL161C,YDR126W
YER035W,YJL164C
YKL143W,YOR091W
YDR407C,YOR115C
YNL124W,YNL007C
YOR120W,YBR052C
YLR002C,YDL014W
YHR141C,YDR381W
YLR153C,YDR123C
YHR156C,YDR328C
YOR206W,YOL010W
YKR072C,YHR008C
YGR284C,YJL091C
YGL180W,YJL066C
YBR251W,YDR124W
YOR173W,YER062C
YKR095W,YDR159W
YAL029C,YKL018W
YPL211W,YDR496C
YOR120W,YBR053C
YKL165C,YLR372W
YDR392W,YHR041C
YGL018C,YKL073W
YGL135W,YBR118W
YGL238W,YKR095W-A
YKL068W,YPL012W
YLR117C,YMR240C
YNL023C,YIL018W
YOR089C,YOR043W
YNL163C,YDR170C
YKL143W,YOR095C
YDR176W,YLR055C
YOR108W,YGR087C
YBL078C,YKL142W
YGR214W,YKL010C
YLR441C,YHR020W
YKL220C,YCR021C
YBR164C,YDR184C
YJR057W,YGR171C
YGR091W,YMR125W
YGR078C,YML085C
YER165W,YKL025C
YNL030W,YMR142C
YBR084C-A,YGL135W
YPR166C,YKL180W
YEL046C,YOL122C
YGR074W,YIL061C
YOR136W,YPR149W
YOL077C,YDL075W
YGL163C,YDR217C
YCL035C,YOR347C
YGL029W,YOR145C
YJR145C,YLR409C
YKL181W,YML085C
YGL025C,YLR182W
YKL182W,YGR074W
YOL077C,YDR091C
YHL040C,YBL017C
YDR173C,YBR136W
YIL075C,YPR080W
YJL005W,YLR200W
YPL008W,YDL003W
YDR299W,YPL126W
YNR054C,YNR043W
YNL270C,YBL037W
YJL102W,YDR237W
YBR244W,YOR226C
YKL198C,YJL129C
YDL145C,YOR004W
YLR342W,YDR498C
YDR394W,YHR020W
YER127W,YCR072C
YOR206W,YNL022C
YMR108W,YCL018W
YEL064C,YML109W
YOL044W,YKL050C
YKL179C,YDL150W
YGL030W,YPL012W
YER088C,YNL186W
YOR261C,YLR025W
YBR084W,YLR441C
YBR122C,YPR161C
YER110C,YJL066C
YBR034C,YNL002C
YIL036W,YDR259C
YOR361C,YFL037W
YPR144C,YHR197W
YHR011W,YPL075W
YBR009C,YOL012C
YBR008C,YDR011W
YLR409C,YMR185W
YMR314W,YDL147W
YHR011W,YMR186W
YNL280C,YGL006W
YNL009W,YDL182W
YAL029C,YLR340W
YOR133W,YDR172W
YPR144C,YHR196W
YLR075W,YBR048W
YLL045C,YKR059W
YAL021C,YAL019W
YLR058C,YKL216W
YJR076C,YHR061C
YKR094C,YJR145C
YGL073W,YMR273C
YFR014C,YML028W
YJL183W,YLR268W
YML024W,YNL302C
YBR199W,YBR080C
YIR028W,YHL011C
YDR170C,YLR292C
YLR102C,YBR160W
YGR215W,YNL081C
YJL184W,YJL186W
YBR034C,YNL004W
YPR190C,YNL313C
YGR123C,YMR313C
YJR076C,YDL064W
YDR510W,YGR211W
YAL036C,YHR070W
YER126C,YBR031W
YAL021C,YAL017W
YLL045C,YKR057W
YMR001C,YLR147C
YDL049C,YNL307C
YGR103W,YGR280C
YKL042W,YJL130C
YCL027W,YBL032W
YGR140W,YLR175W
YJL041W,YGR078C
YER127W,YPL146C
YML130C,YER021W
YKL009W,YNL110C
YPR080W,YDL185W
YCR039C,YKL209C
YPR175W,YHR065C
YLR293C,YKR055W
YLR342W,YGL031C
YER022W,YPL042C
YPL001W,YDL082W
YNL061W,YDL167C
YHR084W,YGL212W
YPR111W,YPR161C
YMR202W,YMR015C
YDL220C,YLR318W
YIL133C,YML124C
YLR148W,YML001W
YOL067C,YGL208W
YER155C,YKR023W
YOR134W,YIL113W
YLR342W,YGL030W
YDL137W,YDL200C
YHR011W,YBR121C
YPL001W,YDL083C
YPR159W,YDR248C
YDR176W,YMR005W
YJL095W,YMR104C
YHL025W,YLR055C
YOR122C,YPR055W
YNL132W,YPR163C
YKL012W,YOR159C
YDR320C-A,YKR037C
YDR312W,YDR103W
YGR063C,YBL046W
YNR001C,YNL168C
YDR510W,YMR111C
YIL087C,YLR356W
YMR049C,YDL082W
YBR252W,YML021C
YBR084W,YDL082W
YMR242C,YLR340W
YML128C,YOR285W
YGL147C,YLR264W
YLR196W,YKR092C
YDR406W,YOR153W
YDR432W,YBL027W
YKL012W,YDR515W
YML067C,YOR288C
YGL192W,YBL023C
YDL150W,YDL047W
YNL061W,YDL168W
YCR047C,YOL010W
YBL087C,YMR163C
YER141W,YJL092W
YBR112C,YNL025C
YLR009W,YKR092C
YDL022W,YOR161C
YNL069C,YGL030W
YEL034W,YLR249W
YGL013C,YFR037C
YBL051C,YJR134C
YOR204W,YKR059W
YHR183W,YPL042C
YNL069C,YGL031C
YGR145W,YPL043W
YJL095W,YMR109W
YJL210W,YHR150W
YPL220W,YML063W
YDR113C,YLR079W
YHR081W,YPL146C
YOR145C,YNL313C
YKL009W,YNL113W
YDR309C,YCL032W
YOR098C,YGR202C
YDR216W,YER133W
YLR127C,YIR025W
YEL063C,YIL132C
YNR053C,YLR340W
YDR296W,YGR076C
YDL155W,YKL048C
YLR147C,YGR013W
YGR136W,YPR103W
YOL041C,YDR341C
YHR088W,YBR242W
YLR276C,YOR272W
YIL013C,YHR150W
YKL127W,YEL060C
YGR218W,YJL013C
YNL178W,YDR023W
YML128C,YOR289W
YJR094C,YNL316C
YBR068C,YDR046C
YCR031C,YBL004W
YNR019W,YLR242C
YER155C,YKR028W
YDR419W,YOR346W
YOL040C,YLR287C-A
YDR170C,YNL222W
YHR092C,YKR075C
YDR108W,YHL022C
YJL115W,YBR136W
YMR217W,YHR020W
YIL124W,YEL011W
YAL034C,YMR181C
YER050C,YDR494W
YBR023C,YKL041W
YDL208W,YDL014W
YOL139C,YNL262W
YOR204W,YDR496C
YLR249W,YLR072W
YPR023C,YBR231C
YHR174W,YKL058W
YOR245C,YDL168W
YGR159C,YLR003C
YLR029C,YEL026W
YLR432W,YHL034C
YBR286W,YMR037C
YML022W,YBR087W
YER177W,YNR047W
YBR112C,YNL021W
YAL001C,YER072W
YEL061C,YGR229C
YJL172W,YLR342W
YER125W,YBR082C
YDR322W,YMR098C
YLR384C,YJR127C
YOL128C,YPL150W
