YAL018C,YNL318C
YAL018C,YNR062C
YAL018C,YOL047C
YAL018C,YOL132W
YAL018C,YOR214C
YAL018C,YOR255W
YAL018C,YOR268C
YAL018C,YOR387C
YAL018C,YPL027W
YAL018C,YPL033C
YAL018C,YPL130W
YAL018C,YPR078C
YAL019W,YAL025C
YAL019W,YAL035W
YAL019W,YAR014C
YAL019W,YBL004W
YAL019W,YBR142W
YAL019W,YBR155W
YAL019W,YCL054W
YAL019W,YDR120C
YAL019W,YDR217C
YAL019W,YFL002C
YAL019W,YGR090W
YAL019W,YIL110W
YAL019W,YJL010C
YAL019W,YJL014W
YAL019W,YJL025W
YAL019W,YJL050W
YAL019W,YJL076W
YAL019W,YJL087C
YAL019W,YJL098W
YAL019W,YJL109C
YAL019W,YJL111W
YAL019W,YJL148W
YAL019W,YJL208C
YAL019W,YJR041C
YAL019W,YJR124C
YAL019W,YKL014C
YAL019W,YKL205W
YAL019W,YKR024C
YAL019W,YKR079C
YAL019W,YKR082W
YAL019W,YKR092C
YAL019W,YLL008W
YAL019W,YLL011W
YAL019W,YLL034C
YAL019W,YLR014C
YAL019W,YLR096W
YAL019W,YLR129W
YAL019W,YLR146C
YAL019W,YLR197W
YAL019W,YLR222C
YAL019W,YLR336C
YAL019W,YLR384C
YAL019W,YML093W
YAL019W,YMR093W
YAL019W,YMR128W
YAL019W,YMR239C
YAL019W,YMR308C
YAL019W,YNL132W
YAL019W,YNL151C
YAL019W,YNL175C
YAL019W,YNL308C
YAL019W,YOL006C
YAL019W,YOR116C
YAL019W,YOR207C
YAL019W,YPL012W
YAL019W,YPL043W
YAL019W,YPL126W
YAL019W,YPL183C
YAL019W,YPL217C
YAL020C,YAL022C
YAL020C,YAL039C
YAL020C,YAL042W
YAL020C,YAL043C
YAL020C,YCL034W
YAL020C,YCR048W
YAL020C,YDR388W
YAL020C,YDR432W
YAL020C,YEL037C
YAL020C,YER018C
YAL020C,YER115C
YAL020C,YER152C
YAL020C,YFR034C
YAL020C,YGL063W
YAL020C,YGL126W
YAL020C,YGL198W
YAL020C,YGR031W
YAL020C,YHL025W
YAL020C,YIL023C
YAL020C,YIL154C
YAL020C,YJL118W
YAL020C,YJR017C
YAL020C,YKL098W
YAL020C,YKR048C
YAL020C,YLR055C
YAL020C,YLR113W
YAL020C,YLR141W
YAL020C,YLR316C
YAL020C,YML010W
YAL020C,YML102W
YAL020C,YMR276W
YAL020C,YNL148C
YAL020C,YNL240C
YAL020C,YNL290W
YAL020C,YOL110W
YAL020C,YPL049C
YAL020C,YPR152C
YAL021C,YCR065W
YAL021C,YCR077C
YAL021C,YCR084C
YAL021C,YDL140C
YAL021C,YDL195W
YAL021C,YDL212W
YAL021C,YDR232W
YAL021C,YER125W
YAL021C,YER165W
YAL021C,YFR034C
YAL021C,YGL206C
YAL021C,YHR086W
YAL021C,YHR165C
YAL021C,YHR205W
YAL021C,YJL078C
YAL021C,YJL080C
YAL021C,YJL081C
YAL021C,YJL143W
YAL021C,YJL146W
YAL021C,YJL178C
YAL021C,YJR017C
YAL021C,YKL164C
YAL021C,YLR116W
YAL021C,YLR139C
YAL021C,YMR043W
YAL021C,YMR079W
YAL021C,YMR203W
YAL021C,YNL016W
YAL021C,YNL158W
YAL021C,YNL197C
YAL021C,YOR140W
YAL021C,YOR204W
YAL022C,YBR220C
YAL022C,YEL058W
YAL022C,YJL118W
YAL022C,YJL121C
YAL022C,YJL210W
YAL022C,YJR015W
YAL022C,YJR105W
YAL022C,YKL019W
YAL022C,YKL207W
YAL022C,YKR048C
YAL022C,YLL022C
YAL022C,YNL046W
YAL023C,YAL007C
YAL023C,YAL012W
YAL023C,YAL021C
YAL023C,YAL024C
YAL023C,YAL042W
YAL023C,YAR002C,A
YAL023C,YBL009W
YAL023C,YBL082C
YAL023C,YBR078W
YAL023C,YBR112C
YAL023C,YBR135W
YAL023C,YBR162C
YAL023C,YBR187W
YAL023C,YBR243C
YAL023C,YCL030C
YAL023C,YCL043C
YAL023C,YCR034W
YAL023C,YCR084C
YAL023C,YDL052C
YAL023C,YDL095W
YAL023C,YDL145C
YAL023C,YDR023W
YAL023C,YDR093W
YAL023C,YDR144C
YAL023C,YDR261C
YAL023C,YDR321W
YAL023C,YDR353W
YAL023C,YER003C
YAL023C,YER019W
YAL023C,YER087C,B
YAL023C,YER154W
YAL023C,YER165W
YAL023C,YFL022C
YAL023C,YFL037W
YAL023C,YFL045C
YAL023C,YFR051C
YAL023C,YGL012W
YAL023C,YGL022W
YAL023C,YGL126W
YAL023C,YGL195W
YAL023C,YGL200C
YAL023C,YGL253W
YAL023C,YGR204W
YAL023C,YHR025W
YAL023C,YHR098C
YAL023C,YHR188C
YAL023C,YIL039W
YAL023C,YIL043C
YAL023C,YIL123W
YAL023C,YJL002C
YAL023C,YJL062W
YAL023C,YJL080C
YAL023C,YJL118W
YAL023C,YJL158C
YAL023C,YJR017C
YAL023C,YJR105W
YAL023C,YJR143C
YAL023C,YKL029C
YAL023C,YKL080W
YAL023C,YKL081W
YAL023C,YKL096W
YAL023C,YKL127W
YAL023C,YKL165C
YAL023C,YKR013W
YAL023C,YKR043C
YAL023C,YLL018C
YAL023C,YLR060W
YAL023C,YLR083C
YAL023C,YLR113W
YAL023C,YLR179C
YAL023C,YLR192C
YAL023C,YLR229C
YAL023C,YLR342W
YAL023C,YLR357W
YAL023C,YLR372W
YAL023C,YLR378C
YAL023C,YLR429W
YAL023C,YLR432W
YAL023C,YML052W
YAL023C,YML085C
YAL023C,YMR116C
YAL023C,YMR149W
YAL023C,YMR205C
YAL023C,YMR215W
YAL023C,YMR296C
YAL023C,YMR305C
YAL023C,YMR307W
YAL023C,YNL066W
YAL023C,YNL283C
YAL023C,YNL300W
YAL023C,YNR030W
YAL023C,YOL031C
YAL023C,YOL052C
YAL023C,YOR085W
YAL023C,YOR198C
YAL023C,YOR247W
YAL023C,YOR270C
YAL023C,YOR375C
YAL023C,YPL163C
YAL023C,YPR074C
YAL023C,YPR114W
YAL023C,YPR183W
YAL024C,YAL026C
YAL024C,YBL034C
YAL024C,YCL014W
YAL024C,YGR098C
YAL024C,YHR172W
YAL024C,YJL095W
YAL024C,YJL187C
YAL024C,YJR031C
YAL024C,YJR053W
YAL024C,YJR054W
YAL024C,YJR076C
YAL024C,YKR054C
YAL024C,YLL054C
YAL024C,YLR187W
YAL024C,YLR272C
YAL024C,YML072C
YAL024C,YPL082C
YAL025C,YAL059W
YAL025C,YAR008W
YAL025C,YBL004W
YAL025C,YBL024W
YAL025C,YBL028C
YAL025C,YBL039C
YAL025C,YBL054W
YAL025C,YBR034C
YAL025C,YBR061C
YAL025C,YBR079C
YAL025C,YBR141C
YAL025C,YBR142W
YAL025C,YBR154C
YAL025C,YBR155W
YAL025C,YBR247C
YAL025C,YBR267W
YAL025C,YBR271W
YAL025C,YCL031C
YAL025C,YCL036W
YAL025C,YCL054W
YAL025C,YCL059C
YAL025C,YCR016W
YAL025C,YCR057C
YAL025C,YCR072C
YAL025C,YCR087C,A
YAL025C,YDL014W
YAL025C,YDL031W
YAL025C,YDL060W
YAL025C,YDL063C
YAL025C,YDL148C
YAL025C,YDL150W
YAL025C,YDL153C
YAL025C,YDL167C
YAL025C,YDL208W
YAL025C,YDR021W
YAL025C,YDR060W
YAL025C,YDR083W
YAL025C,YDR087C
YAL025C,YDR091C
YAL025C,YDR101C
YAL025C,YDR120C
YAL025C,YDR161W
YAL025C,YDR165W
YAL025C,YDR184C
YAL025C,YDR299W
YAL025C,YDR324C
YAL025C,YDR365C
YAL025C,YDR398W
YAL025C,YDR412W
YAL025C,YDR449C
YAL025C,YDR465C
YAL025C,YDR496C
YAL025C,YEL048C
YAL025C,YER002W
YAL025C,YER049W
YAL025C,YER082C
YAL025C,YER126C
YAL025C,YER127W
YAL025C,YER137C
YAL025C,YFL002C
YAL025C,YFL023W
YAL025C,YGL029W
YAL025C,YGL078C
YAL025C,YGL099W
YAL025C,YGL171W
YAL025C,YGR081C
YAL025C,YGR090W
YAL025C,YGR103W
YAL025C,YGR128C
YAL025C,YGR145W
YAL025C,YGR158C
YAL025C,YGR159C
YAL025C,YGR187C
YAL025C,YGR200C
YAL025C,YGR245C
YAL025C,YGR271C,A
YAL025C,YGR280C
YAL025C,YGR283C
YAL025C,YHR040W
YAL025C,YHR052W
YAL025C,YHR065C
YAL025C,YHR066W
YAL025C,YHR085W
YAL025C,YHR088W
YAL025C,YHR089C
YAL025C,YHR148W
YAL025C,YHR169W
YAL025C,YHR170W
YAL025C,YHR196W
YAL025C,YHR197W
YAL025C,YIL019W
YAL025C,YIL079C
YAL025C,YIL091C
YAL025C,YIL096C
YAL025C,YIL103W
YAL025C,YIL104C
YAL025C,YIL127C
YAL025C,YIR026C
YAL025C,YJL010C
YAL025C,YJL011C
YAL025C,YJL033W
